1900	0.65	0.45
1901	0.34	0.35
1902	-0.24	-0.10
1903	-0.35	-0.26
1904	-0.51	-0.27
1905	-0.08	-0.15
1906	0.27	-0.07
1907	-0.39	-0.12
1908	0.10	-0.21
1909	-0.71	-0.26
1910	-0.13	-0.19
1911	0.12	-0.08
1912	-0.14	-0.05
1913	0.02	-0.07
1914	-0.24	-0.06
1915	0.08	-0.03
1916	0.11	-0.04
1917	-0.28	-0.09
1918	-0.15	-0.08
1919	0.03	0.03
1920	0.21	0.12
1921	0.33	0.08
1922	-0.13	-0.10
1923	-0.47	-0.31
1924	-0.47	-0.42
1925	-0.52	-0.39
1926	-0.23	-0.28
1927	-0.11	-0.18
1928	0.02	-0.15
1929	-0.42	-0.15
1930	-0.21	-0.02
1931	0.59	0.16
1932	0.16	0.18
1933	0.09	0.09
1934	-0.09	0.02
1935	-0.01	0.01
1936	0.01	0.07
1937	0.16	0.14
1938	0.34	0.13
1939	0.14	-0.01
1940	-0.64	-0.13
1941	0.04	-0.10
1942	0.09	-0.01
1943	-0.09	0.05
1944	0.18	0.11
1945	0.21	0.16
1946	0.04	0.22
1947	0.58	0.25
1948	-0.04	0.22
1949	0.48	0.12
1950	-0.31	0.01
1951	-0.03	-0.02
1952	0.08	0.02
1953	0.05	0.08
1954	-0.06	0.16
1955	0.89	0.15
1956	-0.44	-0.03
1957	-0.41	-0.11
1958	0.01	0.04
1959	0.70	0.19
1960	-0.17	0.18
1961	0.50	0.04
1962	-0.46	-0.18
1963	-0.39	-0.36
1964	-0.54	-0.40
1965	-0.34	-0.34
1966	-0.25	-0.22
1967	-0.09	-0.09
1968	0.15	0.03
1969	-0.05	0.13
1970	0.37	0.21
1971	0.45	0.19
1972	-0.31	0.09
1973	0.35	0.02
1974	-0.36	-0.01
1975	0.33	-0.03
1976	-0.38	-0.04
1977	0.23	-0.05
1978	-0.27	-0.04
1979	0.06	-0.01
1980	0.16	-0.01
1981	-0.13	-0.06
1982	-0.34	-0.04
1983	0.34	0.04
1984	0.07	0.07
1985	0.07	0.02
1986	-0.17	-0.02
1987	-0.01	0.02
1988	0.14	0.12
1989	0.19	0.21
1990	0.43	0.23
1991	0.29	0.12
1992	-0.44	-0.01
1993	0.10	0.02
1994	0.05	0.15
1995	0.56	0.24
1996	0.23	0.19
1997	-0.25	0.13
1998	0.32	0.19
1999	0.56	0.21
2000	-0.25	0.16
2001	0.14	0.22
2002	0.55	0.38
2003	0.55	0.51
2004	0.39	0.62
2005	1.15	0.70
2006	0.47	0.65
2007	0.66	0.51
2008	0.30	0.40
2009	0.04	0.44
2010	0.83	0.66
2011	1.12	0.86
2012	0.82	0.91
